PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010408;SPLITTER 2 VIAS 5-1000 MHZ TV TECH                ;010408                                                      ;1,00 ; $ 10.800 ;5.473,39 
0010001010409;SPLITTER 3 VIAS HOLLAND/ 5-2400 (7)               ;010409                                                      ;2,00 ; $ 4.900 ;5.464,75 
0010001001025;SPLITTER 3 VIAS  ATVSP8002TS                      ;01040901                                                    ;2,00 ; $ 8.500 ;9.207,00 
0010001010410;SPLITTER 3 VIAS MOTECH -SUPERTONE                 ;010410                                                      ;2,00 ; $ 2.800 ;2.835,24 
0010001010411;SPLITTER 3 VIAS 5-1000 MHZ F552                   ;010411                                                      ;0,00 ; $ 6.500 ;0,00 
0010001010412;SPLITTER 3 VIAS 5-1000 MHZ SP-1031                ;010412                                                      ;0,00 ; $ 5.800 ;6.502,68 
0010001010413;SPLITTER 3 VIAS TRUE-SPEC                         ;010413                                                      ;0,00 ; $ 7.200 ;0,00 
0010001010414;SPLITTER FINO 3 VIAS ES203                        ;010414                                                      ;2,00 ; $ 4.100 ;4.795,42 
0010001010415;SPLITTER 4 VIAS 950-2150MHZ  SP-1043              ;010415                                                      ;1,00 ; $ 6.800 ;3.553,13 
0010001010416;SPLITTER 4 VIAS                                   ;010416                                                      ;0,00 ; $ 1.200 ;0,00 
0010001010417;SPLITTER FINO 4 VIAS ES204                        ;010417                                                      ;50,00 ; $ 4.700 ;264.833,00 
0010001010418;SPLITTER 4 VIAS MOTECH- SUPERTONE                 ;010418                                                      ;6,00 ; $ 3.100 ;9.242,91 
0010001001001;SPLITER 4 VIAS FINO 1315                          ;01041801                                                    ;0,00 ; $ -   ;0,00 
0010001010419;SPLITTER 4 VIAS TECH                              ;010419                                                      ;0,00 ; $ 7.800 ;0,00 
0010001010420;SPLITTER 4 VIAS                                   ;010420                                                      ;0,00 ; $ 7.500 ;0,00 
0010001010421;SPLITTER 4 VIAS N-1004                            ;010421                                                      ;0,00 ; $ -   ;0,00 
